TICKER;REPO
JPY;0.49
AUD;4.19
GBP;3.68
USD;3.62
EUR;1.87
PBW;2.17
FXI;0.73
EWJ;0.72
VWO;0.48
EZA;1.9
PL=F;1.39
IYZ;3.38
^HSI;3.27
IGE;1.61
IYR;0.94
