currency,risk,ticker,weight
USD,3.0,PA=F,0.003633520741361411
USD,3.0,PBJ,0.0
USD,3.0,PBW,-0.05712033332267591
USD,3.0,PEJ,0.0
USD,3.0,PFM,0.0
USD,3.0,SHY,0.39109986781505235
USD,3.0,SI=F,0.0
USD,3.0,SMH,0.0898921106795803
USD,3.0,TIP,0.0
USD,3.0,VDC,0.08438764709273888
USD,3.0,VOX,0.0
USD,3.0,VPU,0.004527062157611081
USD,3.0,VWO,-0.03940144429544017
USD,3.0,XLB,0.0
USD,3.0,^BSESN,0.023341418432320033
USD,3.0,^HSI,0.0
USD,3.0,EUR,-0.050773939670785896
USD,3.0,SGD,0.0
USD,3.0,USD,0.0
USD,4.0,399001.SZ,0.03886885864659741
USD,4.0,AGG,0.0
USD,4.0,BBH,0.018797141157472205
USD,4.0,DBC,0.0
USD,4.0,EPP,0.0
USD,4.0,EWH,0.0
USD,4.0,EWJ,-0.009830060961627338
USD,4.0,EWL,0.0
USD,4.0,EWM,0.0
USD,4.0,EWS,0.0
USD,4.0,EWT,0.0
USD,4.0,EWW,0.0
USD,4.0,EZA,-0.011261259885343449
USD,4.0,GLD,0.13732022306580904
USD,4.0,IBB,0.010998249514677374
USD,4.0,IEF,0.11552239392342861
USD,4.0,IGE,0.0
USD,4.0,ILF,0.0
USD,4.0,IXJ,0.0
USD,4.0,IXP,0.0
USD,4.0,IYC,0.034580287109320984
USD,4.0,IYR,0.0
USD,4.0,IYT,0.0
USD,4.0,KIE,0.022883018981507644
USD,4.0,LQD,0.0
USD,4.0,PA=F,0.005068267554519337
USD,4.0,PBJ,0.0
USD,4.0,PBW,-0.07844334733519008
USD,4.0,PEJ,0.0
USD,4.0,PFM,0.0
USD,4.0,SHY,0.14786435333126677
USD,4.0,SI=F,0.0
USD,4.0,SMH,0.12464502164096193
USD,4.0,TIP,0.0
USD,4.0,VDC,0.10579817653369918
USD,4.0,VOX,0.0
USD,4.0,VPU,0.0
USD,4.0,VWO,-0.05381359226481404
USD,4.0,XLB,0.0
USD,4.0,^BSESN,0.026744212917112778
USD,4.0,^HSI,0.0
USD,4.0,EUR,-0.057561535176651815
USD,4.0,SGD,0.0
USD,4.0,USD,0.0
USD,5.0,399001.SZ,0.053997543007543065
USD,5.0,AGG,0.0
USD,5.0,BBH,0.042140517766982535
USD,5.0,DBC,0.0
USD,5.0,DVY,0.0
USD,5.0,EPP,0.0
USD,5.0,EWH,0.0
