Date,USDEUR=X,USDSGD=X
2005-08-01,0.8103100061416626,1.681399941444397
2005-09-01,0.8313900232315063,1.691499948501587
2005-10-01,0.8341000080108643,1.694200038909912
2005-11-01,0.847100019454956,1.6901999711990356
2005-12-01,0.8443099856376648,1.6624000072479248
2006-01-01,0.8231499791145325,1.6233999729156494
2006-02-01,0.8382200002670288,1.6201000213623047
2006-03-01,0.8254200220108032,1.6155999898910522
2006-04-01,0.7920799851417542,1.5805000066757202
2006-05-01,0.780269980430603,1.579200029373169
2006-06-01,0.782289981842041,1.5822999477386475
2006-07-01,0.7828400135040283,1.5782999992370605
2006-08-01,0.7807000279426575,1.5729999542236328
2006-09-01,0.7879599928855896,1.5877000093460083
2006-10-01,0.783270001411438,1.5563000440597534
2006-11-01,0.7546600103378296,1.5391000509262085
2006-12-01,0.7576900124549866,1.5328999757766724
2007-01-01,0.7678700089454651,1.5356999635696411
2007-02-01,0.7559199929237366,1.5292999744415283
2007-03-01,0.7485600113868713,1.5170999765396118
2007-04-01,0.7324900031089783,1.5194000005722046
2007-05-01,0.7431600093841553,1.5288000106811523
2007-06-01,0.7387700080871582,1.5305999517440796
2007-07-01,0.7314199805259705,1.5160000324249268
2007-08-01,0.7330300211906433,1.523900032043457
2007-09-01,0.7007700204849243,1.4830000400543213
2007-10-01,0.6909899711608887,1.4484000205993652
2007-11-01,0.6804599761962891,1.447700023651123
2007-12-01,0.6848800182342529,1.4390000104904175
2008-01-01,0.6727200150489807,1.4170000553131104
2008-02-01,0.658240020275116,1.3950999975204468
2008-03-01,0.6345999836921692,1.378100037574768
2008-04-01,0.6401200294494629,1.357100009918213
2008-05-01,0.6427599787712097,1.3629000186920166
2008-06-01,0.6349200010299683,1.3588000535964966
2008-07-01,0.6413099765777588,1.3674999475479126
2008-08-01,0.6804999709129333,1.4160000085830688
2008-09-01,0.7093999981880188,1.4342000484466553
2008-10-01,0.7872800230979919,1.4744999408721924
2008-11-01,0.7889500260353088,1.5125000476837158
2008-12-01,0.7153099775314331,1.4300999641418457
2009-01-01,0.7781500220298767,1.5095000267028809
2009-02-01,0.7887099981307983,1.5454000234603882
2009-03-01,0.7548900246620178,1.5214999914169312
2009-04-01,0.7555599808692932,1.483199954032898
2009-05-01,0.7081699967384338,1.4433000087738037
2009-06-01,0.7123100161552429,1.4474999904632568
2009-07-01,0.701259970664978,1.4386999607086182
2009-08-01,0.6972200274467468,1.4413000345230103
2009-09-01,0.6823599934577942,1.408400058746338
2009-10-01,0.6787499785423279,1.399399995803833
2009-11-01,0.6649399995803833,1.3819999694824219
2009-12-01,0.6979799866676331,1.4039000272750854
2010-01-01,0.7206199765205383,1.4076999425888062
2010-02-01,0.7332500219345093,1.4048999547958374
2010-03-01,0.7402999997138977,1.3992199897766113
2010-04-01,0.751990020275116,1.3700000047683716
2010-05-01,0.8138099908828735,1.399590015411377
2010-06-01,0.8176599740982056,1.3992999792099
2010-07-01,0.7668700218200684,1.3594000339508057
2010-08-01,0.7895200252532959,1.3551000356674194
2010-09-01,0.733780026435852,1.3177000284194946
2010-10-01,0.7257900238037109,1.3042999505996704
2010-11-01,0.7631300091743469,1.3208999633789062
2010-12-01,0.7518100142478943,1.2881200313568115
2011-01-01,0.73676997423172,1.287350058555603
2011-02-01,0.7281000018119812,1.2745000123977661
2011-03-01,0.7081500291824341,1.2610000371932983
2011-04-01,0.6747199892997742,1.2267999649047852
2011-05-01,0.6982100009918213,1.2330000400543213
