currency,a,b,c
USD,101.95803133877496,-2.5347827108622196,0.13988545605669822
EUR,76.74618121072795,-2.506376946649018,0.17471670204239526
SGD,80.63249810842552,-2.5113167608058915,0.16154600132584926
AUD,76.13426307156985,-2.5055764238485283,0.1608581413874057
GBP,78.84598151368291,-2.509076218590123,0.16109400353224226
HKD,99.71981050257473,-2.532563019583124,0.13905162741183483
JPY,74.22537344607741,-2.5030371889380763,0.19940567526808844
