Date,SGDCHF=X,SGDCNY=X,SGDEUR=X,SGDGBP=X,SGDHKD=X,SGDJPY=X,SGDUSD=X
2006-06-01,0.7732300162315369,5.036600112915039,0.49380001425743103,0.34182000160217285,4.902500152587891,72.27999877929688,0.631991446018219
2006-07-01,0.7793499827384949,5.035999774932861,0.4957900047302246,0.33901000022888184,4.922299861907959,72.5199966430664,0.6335930824279785
2006-08-01,0.7826300263404846,5.041999816894531,0.49617999792099,0.33399999141693115,4.943399906158447,74.58999633789062,0.6357279419898987
2006-09-01,0.7886300086975098,4.976900100708008,0.49674999713897705,0.33618998527526855,4.911399841308594,74.30999755859375,0.6298419237136841
2006-10-01,0.7989500164985657,5.0543999671936035,0.5030900239944458,0.3365899920463562,4.996200084686279,75.01000213623047,0.6425496339797974
2006-11-01,0.7778099775314331,5.082799911499023,0.49007999897003174,0.33030998706817627,5.052000045776367,75.12999725341797,0.6497303247451782
2006-12-01,0.7950400114059448,4.8846001625061035,0.49362999200820923,0.33296999335289,5.067399978637695,77.22000122070312,0.6523582935333252
2007-01-01,0.8104000091552734,5.041999816894531,0.4999000132083893,0.3315800130367279,5.081900119781494,78.61000061035156,0.6511688828468323
2007-02-01,0.797029972076416,5.049200057983398,0.49406999349594116,0.33278998732566833,5.106800079345703,77.61000061035156,0.6538939476013184
2007-03-01,0.800849974155426,4.8790998458862305,0.493149995803833,0.3347199857234955,5.147200107574463,77.66999816894531,0.6591523289680481
2007-04-01,0.7937899827957153,5.0640997886657715,0.4818800091743469,0.328900009393692,5.147200107574463,78.55999755859375,0.6581545472145081
2007-05-01,0.801110029220581,4.990699768066406,0.48590999841690063,0.33024001121520996,5.105400085449219,79.62000274658203,0.6541078090667725
2007-06-01,0.79899001121521,4.87060022354126,0.48295000195503235,0.3262700140476227,5.046199798583984,80.44000244140625,0.6533385515213013
2007-07-01,0.7919700145721436,4.997099876403809,0.4820399880409241,0.32482001185417175,5.159800052642822,78.08000183105469,0.6596305966377258
2007-08-01,0.7919099926948547,4.940999984741211,0.480679988861084,0.325080007314682,5.114200115203857,75.86000061035156,0.6562110185623169
2007-09-01,0.7822700142860413,5.024700164794922,0.4713200032711029,0.32879000902175903,5.230800151824951,77.2300033569336,0.6743088364601135
2007-10-01,0.8001999855041504,5.1458001136779785,0.47701001167297363,0.33184999227523804,5.349599838256836,79.66000366210938,0.6904169917106628
2007-11-01,0.7802199721336365,5.10699987411499,0.4706999957561493,0.33621999621391296,5.367499828338623,76.7699966430664,0.6907508373260498
2007-12-01,0.7879800200462341,5.025300025939941,0.47609999775886536,0.3490999937057495,5.422999858856201,77.55999755859375,0.6949270367622375
2008-01-01,0.7624800205230713,5.051300048828125,0.47450000047683716,0.35436001420021057,5.500500202178955,74.94000244140625,0.7057162523269653
2008-02-01,0.7465599775314331,5.093200206756592,0.47214001417160034,0.36017000675201416,5.581200122833252,74.30999755859375,0.716794490814209
2008-03-01,0.7216899991035461,5.093400001525879,0.4602400064468384,0.3655399978160858,5.645199775695801,72.41000366210938,0.7256367206573486
2008-04-01,0.762470006942749,5.14139986038208,0.47145000100135803,0.37049001455307007,5.740900039672852,76.54000091552734,0.7368653416633606
2008-05-01,0.764710009098053,5.047999858856201,0.4710099995136261,0.3703399896621704,5.654399871826172,77.41999816894531,0.7337295413017273
2008-06-01,0.7512800097465515,,0.46696001291275024,0.36899998784065247,5.735499858856201,78.05000305175781,0.7359434366226196
2008-07-01,0.765720009803772,,0.46862998604774475,0.3684200048446655,5.701499938964844,78.79000091552734,0.7312614321708679
2008-08-01,0.7753499746322632,,0.4803299903869629,0.3899199962615967,5.509200096130371,76.52999877929688,0.7062146663665771
2008-09-01,0.7814900279045105,4.756800174713135,0.49432000517845154,0.3910500109195709,5.412300109863281,73.9000015258789,0.6972528100013733
2008-10-01,0.7823799848556519,4.601399898529053,0.5289300084114075,0.42166000604629517,5.2204999923706055,66.26000213623047,0.6781960129737854
2008-11-01,0.8027499914169312,4.448800086975098,0.5213500261306763,0.4304400086402893,5.123000144958496,63.0,0.6611570119857788
2008-12-01,0.7459999918937683,4.666900157928467,0.4992299973964691,0.472790002822876,5.396399974822998,62.650001525878906,0.6992518305778503
2009-01-01,0.7685700058937073,4.429500102996826,0.5166400074958801,0.4500199854373932,5.0777997970581055,59.43000030517578,0.6624709963798523
2009-02-01,0.7543399930000305,4.411900043487549,0.510129988193512,0.45333001017570496,5.006499767303467,63.0099983215332,0.6470816731452942
2009-03-01,0.7482500076293945,4.4857001304626465,0.49570998549461365,0.45778998732566833,5.09060001373291,65.0,0.6572461128234863
2009-04-01,0.7686899900436401,4.5904998779296875,0.5092899799346924,0.4557900130748749,5.223299980163574,66.51000213623047,0.674217939376831
2009-05-01,0.7398999929428101,4.7220001220703125,0.49028998613357544,0.4279699921607971,5.368299961090088,65.98999786376953,0.6928566694259644
2009-06-01,0.7499099969863892,4.702899932861328,0.49173998832702637,0.41920000314712524,5.351200103759766,66.5,0.6908462643623352
2009-07-01,0.741890013217926,4.742099761962891,0.4869300127029419,0.4177500009536743,5.382299900054932,65.70999908447266,0.6950719356536865
2009-08-01,0.7340700030326843,4.731100082397461,0.483489990234375,0.42559999227523804,5.37529993057251,64.4000015258789,0.6938180923461914
2009-09-01,0.7345200181007385,4.829100131988525,0.4844000041484833,0.44339999556541443,5.499899864196777,63.779998779296875,0.7100255489349365
2009-10-01,0.7323200106620789,4.803299903869629,0.48451998829841614,0.43389999866485596,5.52810001373291,64.2699966430664,0.7145919799804688
2009-11-01,0.7257599830627441,4.912799835205078,0.4809499979019165,0.439520001411438,5.606599807739258,62.369998931884766,0.7235890030860901
2009-12-01,0.7368800044059753,4.785299777984619,0.4965499937534332,0.4396600127220154,5.519400119781494,66.11000061035156,0.7123014330863953
2010-01-01,0.7529199719429016,4.777900218963623,0.5116099715232849,0.44444000720977783,5.514500141143799,64.05000305175781,0.7103786468505859
2010-02-01,0.7635999917984009,4.7342000007629395,0.521589994430542,0.4685800075531006,5.522600173950195,63.220001220703125,0.7117944359779358
2010-03-01,0.752839982509613,4.8730998039245605,0.5288199782371521,0.47049999237060547,5.546999931335449,66.81999969482422,0.7146838903427124
2010-04-01,0.7859699726104736,4.972300052642822,0.5484600067138672,0.47742000222206116,5.662899971008301,68.44000244140625,0.7299270033836365
