Date,ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,TRX-USD,XRP-USD
2017-11-01,0.11988300085067749,1.9969700574874878,10233.599609375,0.002078999998047948,447.114013671875,0.0022440000902861357,0.2508780062198639
2017-12-01,0.719694972038269,8.635580062866211,14156.400390625,0.00897200033068657,756.7329711914062,0.04475200176239014,2.300570011138916
2018-01-01,0.5193150043487549,11.145000457763672,10221.099609375,0.006010000128298998,1118.31005859375,0.05445399880409241,1.1623899936676025
2018-02-01,0.31258100271224976,10.438199996948242,10397.900390625,0.006018000189214945,855.198974609375,0.04334999993443489,0.9045829772949219
2018-03-01,0.15591900050640106,11.055899620056152,6973.52978515625,0.002819000044837594,396.4570007324219,0.03397199884057045,0.5123530030250549
2018-04-01,0.34331798553466797,14.312100410461426,9240.5498046875,0.005210000090301037,669.9240112304688,0.09377700090408325,0.8379380106925964
2018-05-01,0.22521400451660156,14.190199851989746,7494.169921875,0.003398000029847026,577.64501953125,0.060541000217199326,0.6126220226287842
2018-06-01,0.13767099380493164,14.657299995422363,6404.0,0.002498999936506152,455.17999267578125,0.038423001766204834,0.46624499559402466
2018-07-01,0.1432970017194748,13.775400161743164,7780.43994140625,0.002945000072941184,433.86700439453125,0.03392599895596504,0.4352250099182129
2018-08-01,0.10219600051641464,11.013799667358398,7037.580078125,0.004794000182300806,283.0039978027344,0.025344999507069588,0.3353320062160492
2018-09-01,0.08519499748945236,10.017800331115723,6625.56005859375,0.005905999802052975,232.84800720214844,0.022165000438690186,0.5815719962120056
2018-10-01,0.06970500200986862,9.364959716796875,6317.60986328125,0.0037640000227838755,197.38099670410156,0.02219199948012829,0.4483819901943207
2018-11-01,0.03891599923372269,5.078571796417236,4017.2685546875,0.0021649999544024467,113.17141723632812,0.014390000142157078,0.36245501041412354
2018-12-01,0.04106299951672554,6.164731979370117,3742.700439453125,0.002345999935641885,133.36825561523438,0.01882600039243698,0.3527059853076935
2019-01-01,0.038373999297618866,6.268435955047607,3457.792724609375,0.0019249999895691872,107.0610122680664,0.025429999455809593,0.3100360035896301
2019-02-01,0.043122999370098114,10.365178108215332,3854.785400390625,0.0019759999122470617,136.74624633789062,0.02386699989438057,0.3150779902935028
2019-03-01,0.0697460025548935,17.401670455932617,4105.404296875,0.0020800000056624413,141.51409912109375,0.02352299913764,0.3092289865016937
2019-04-01,0.07034599781036377,22.127836227416992,5350.7265625,0.0025130000431090593,162.16603088378906,0.02397100068628788,0.30947598814964294
2019-05-01,0.08944100141525269,32.748165130615234,8574.501953125,0.0034409998916089535,268.1135559082031,0.03302299976348877,0.4385739862918854
2019-06-01,0.08209799975156784,32.442481994628906,10817.1552734375,0.0032579998951405287,290.69598388671875,0.03193899989128113,0.3964110016822815
2019-07-01,0.060152001678943634,27.64455795288086,10085.6279296875,0.0028989999555051327,218.65414428710938,0.022478999570012093,0.3209089934825897
2019-08-01,0.04498999938368797,21.265914916992188,9630.6640625,0.0025110000278800726,172.46978759765625,0.015560000203549862,0.2592040002346039
2019-09-01,0.038885001093149185,15.862674713134766,8293.8681640625,0.0023870000150054693,179.87220764160156,0.014523999765515327,0.2559329867362976
2019-10-01,0.04163600131869316,20.000232696533203,9199.5849609375,0.0026149998884648085,183.9669189453125,0.019897999241948128,0.29635798931121826
2019-11-01,0.040424998849630356,15.715950965881348,7569.6298828125,0.002319999970495701,152.53968811035156,0.01550500001758337,0.22647400200366974
2019-12-01,0.03284500166773796,13.727642059326172,7193.59912109375,0.0020280000753700733,129.61085510253906,0.013306000269949436,0.19289399683475494
2020-01-01,0.05379299819469452,18.210979461669922,9350.529296875,0.002394000068306923,180.16017150878906,0.018681999295949936,0.23923300206661224
2020-02-01,0.047540999948978424,19.584091186523438,8599.5087890625,0.0022350000217556953,219.8485107421875,0.016628999263048172,0.23119300603866577
2020-03-01,0.030553000047802925,12.581605911254883,6438.64453125,0.0018110000528395176,133.59356689453125,0.011625000275671482,0.17456300556659698
2020-04-01,0.047846000641584396,17.03397560119629,8658.5537109375,0.0024429999757558107,207.60205078125,0.015278000384569168,0.21276099979877472
2020-05-01,0.07435200363397598,17.04047203063965,9461.05859375,0.0025549998972564936,230.9757080078125,0.015891000628471375,0.20290599763393402
2020-06-01,0.08311600238084793,15.413581848144531,9137.9931640625,0.002319999970495701,226.31500244140625,0.01637200079858303,0.17587000131607056
2020-07-01,0.13879799842834473,20.66814613342285,11323.466796875,0.0032250001095235348,345.5546569824219,0.019677000120282173,0.25890401005744934
2020-08-01,0.12268800288438797,23.193050384521484,11680.8203125,0.0032210000790655613,435.0797424316406,0.029298000037670135,0.28176599740982056
2020-09-01,0.10106199979782104,29.290876388549805,10784.4912109375,0.002630000002682209,359.9378662109375,0.026058999821543694,0.241784006357193
2020-10-01,0.09305600076913834,28.431215286254883,13780.9951171875,0.0025760000571608543,386.59033203125,0.025769999250769615,0.23974399268627167
2020-11-01,0.1713079959154129,31.392786026000977,19625.8359375,0.0035510000307112932,614.842529296875,0.03232000023126602,0.6643369793891907
2020-12-01,0.18139700591564178,37.376033782958984,29001.720703125,0.004681999795138836,737.8034057617188,0.026832999661564827,0.2198459953069687
2021-01-01,0.344897985458374,44.27599334716797,33114.359375,0.037195999175310135,1314.9862060546875,0.031603001058101654,0.49231401085853577
2021-02-01,1.3080589771270752,209.57440185546875,45137.76953125,0.04805200174450874,1416.0489501953125,0.04564699903130531,0.41495299339294434
2021-03-01,1.1932640075683594,302.0634460449219,58918.83203125,0.05365699902176857,1918.362060546875,0.09231200069189072,0.573868989944458
