Date,DIA,EEM,EFA,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWM,EWP,EWS,EWU,GLD,IWM,LQD,MDY,QQQ,SPY,TIP,TLT,VTI,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2008-07-01,77.5060043334961,29.89140510559082,40.104339599609375,11.394743919372559,21.81604766845703,14.585648536682129,19.52700424194336,9.63633918762207,30.625686645507812,36.30480194091797,16.4090576171875,26.093626022338867,12.302041053771973,20.557647705078125,90.08000183105469,56.20288848876953,53.01896286010742,118.15882873535156,39.3026008605957,92.24980163574219,67.24703216552734,55.66831970214844,46.62228775024414,27.829866409301758,43.47483825683594,12.722028732299805,24.509002685546875,17.631914138793945,17.28679656982422,20.82466697692871,23.79157257080078,22.863346099853516
2008-08-01,78.81282043457031,28.0035343170166,38.40086364746094,10.909274101257324,21.14103889465332,13.970479965209961,18.335844039916992,9.151637077331543,29.202611923217773,34.519805908203125,14.93336296081543,24.451778411865234,11.224491119384766,19.864465713500977,81.70999908447266,58.429691314697266,53.07876205444336,119.86539459228516,39.87321472167969,93.67540740966797,67.63348388671875,57.19171905517578,47.30305480957031,27.395668029785156,43.62092971801758,12.5985107421875,25.181068420410156,17.947473526000977,17.75365447998047,20.594989776611328,24.283039093017578,24.442058563232422
2008-09-01,74.13004302978516,23.89214324951172,34.009254455566406,9.407072067260742,18.32965850830078,11.745556831359863,15.993669509887695,7.622516632080078,25.333232879638672,32.250762939453125,13.890754699707031,22.707317352294922,9.717915534973145,17.226211547851562,85.06999969482422,53.78666687011719,47.3867301940918,106.60095977783203,33.639793395996094,84.3653564453125,64.98595428466797,58.03571319580078,42.72062683105469,23.019245147705078,36.98867416381836,11.698619842529297,22.02092170715332,15.659666061401367,17.412973403930664,18.172367095947266,22.376737594604492,22.35847282409668
2008-10-01,64.15906524658203,17.781015396118164,26.92348289489746,6.86523962020874,13.3471097946167,8.744486808776855,12.366654396057129,6.012613773345947,19.37039566040039,27.228593826293945,11.468697547912598,17.322458267211914,7.014059066772461,13.822354316711426,71.33999633789062,42.60520553588867,46.46751403808594,83.89134979248047,28.45433235168457,70.83699798583984,59.71476745605469,56.98824691772461,35.428260803222656,17.96977424621582,30.131887435913086,9.221783638000488,18.101211547851562,13.18023681640625,15.321039199829102,15.949776649475098,19.897817611694336,18.48058319091797
2008-11-01,60.69622039794922,16.046960830688477,25.207927703857422,6.256115913391113,11.906623840332031,8.19831657409668,11.101884841918945,5.931829929351807,18.253101348876953,26.199966430664062,11.292257308959961,16.745853424072266,6.784581184387207,12.932594299316406,80.30999755859375,37.52429962158203,48.00408935546875,75.93220520019531,25.192777633666992,65.90626525878906,60.71791458129883,65.10037231445312,32.58870315551758,16.049392700195312,29.475313186645508,7.517561912536621,16.61314582824707,12.071992874145508,15.289265632629395,16.617341995239258,18.6411075592041,16.47812843322754
2008-12-01,60.43253707885742,17.459383010864258,27.098674774169922,6.416412830352783,12.129307746887207,8.945710182189941,12.86185359954834,5.983762741088867,19.276302337646484,28.983333587646484,11.693255424499512,18.48542594909668,7.034012794494629,12.673938751220703,86.5199966430664,39.03034210205078,54.403778076171875,78.82868194580078,25.729154586791992,66.01598358154297,64.66673278808594,73.78759765625,32.91237258911133,15.765149116516113,28.003883361816406,7.434426784515381,16.83599090576172,12.198649406433105,15.162230491638184,16.01598358154297,19.860416412353516,17.346656799316406
2009-01-01,55.46609878540039,16.06017303466797,23.675037384033203,5.687823295593262,11.858626365661621,7.558391094207764,10.4149169921875,5.989367485046387,16.501176834106445,25.715595245361328,11.523201942443848,15.94979476928711,6.7066545486450195,11.815244674682617,91.30999755859375,35.52581787109375,53.91958999633789,74.00939178466797,25.1773681640625,61.08705520629883,64.64063262939453,64.57464599609375,30.495689392089844,14.778100967407227,27.648284912109375,5.568670272827148,14.95992374420166,11.682952880859375,14.189837455749512,16.190420150756836,19.7405948638916,15.622862815856934
2009-02-01,49.09502410888672,15.053305625915527,21.215770721435547,5.496757984161377,10.715372085571289,7.259047508239746,9.064337730407715,5.750268459320068,14.2059965133667,22.482084274291992,11.490321159362793,14.111397743225098,5.968402862548828,10.665654182434082,92.62999725341797,31.268796920776367,50.862220764160156,67.01565551757812,23.851791381835938,54.52328109741211,63.22012710571289,63.41075897216797,27.286012649536133,13.592207908630371,24.2364559173584,4.580291748046875,12.412163734436035,11.237278938293457,13.04311466217041,14.162434577941895,17.294652938842773,14.204813957214355
2009-03-01,52.87687683105469,17.591733932495117,22.99598503112793,6.559858798980713,11.688203811645508,8.041943550109863,10.058794021606445,6.079028129577637,15.269026756286621,24.09883689880371,11.490321159362793,15.292860984802246,6.550685882568359,11.155290603637695,90.27999877929688,33.584999084472656,51.09193801879883,72.29563903808594,26.269020080566406,58.64590835571289,66.95391845703125,65.975830078125,29.33932113647461,15.585073471069336,25.020160675048828,5.309525489807129,13.377549171447754,12.431044578552246,13.517181396484375,14.274164199829102,18.220352172851562,15.922676086425781
2009-04-01,57.07795715332031,20.328693389892578,25.644899368286133,7.1967363357543945,13.307229042053223,9.924345016479492,11.617670059204102,7.095186710357666,18.1440486907959,25.959636688232422,13.364280700683594,17.681259155273438,7.611273288726807,12.485837936401367,87.2699966430664,38.87890625,52.48971939086914,83.30017852783203,29.74905014038086,64.93363189697266,65.44866943359375,61.383731842041016,32.79007339477539,18.122610092163086,27.115169525146484,6.5315117835998535,15.94699764251709,13.797473907470703,14.177214622497559,14.60130500793457,18.310623168945312,18.973928451538086
