,0
AGG,USD
DGT,USD
DIA,USD
DVY,USD
EEM,USD
EFA,USD
EPP,USD
EWA,USD
EWC,USD
EWD,USD
EWG,USD
EWH,USD
EWI,USD
EWJ,USD
EWL,USD
EWM,USD
EWN,USD
EWP,USD
EWQ,USD
EWS,USD
EWT,USD
EWU,USD
EWW,USD
EWY,USD
EWZ,USD
EZA,USD
EZU,USD
FEZ,USD
FXI,USD
GLD,USD
IBB,USD
ICF,USD
IDU,USD
IEF,USD
IEV,USD
IGE,USD
IGM,USD
IGPT,USD
IGV,USD
IJH,USD
IJJ,USD
IJK,USD
IJR,USD
IJS,USD
IJT,USD
ILCB,USD
ILCG,USD
ILCV,USD
ILF,USD
IMCB,USD
IMCG,USD
IMCV,USD
IOO,USD
ISCB,USD
ISCG,USD
ISCV,USD
ITOT,USD
IUSG,USD
IUSV,USD
IVE,USD
IVV,USD
IVW,USD
IWB,USD
IWD,USD
IWF,USD
IWM,USD
IWN,USD
IWO,USD
IWP,USD
IWR,USD
IWS,USD
IWV,USD
IXC,USD
IXG,USD
IXJ,USD
IXN,USD
IXP,USD
IYC,USD
IYE,USD
IYF,USD
IYG,USD
IYH,USD
IYJ,USD
IYK,USD
IYM,USD
IYR,USD
IYT,USD
IYW,USD
IYY,USD
IYZ,USD
LQD,USD
MDY,USD
OEF,USD
ONEQ,USD
PBW,USD
PEJ,USD
PEY,USD
PJP,USD
PSI,USD
PWB,USD
PWV,USD
QQQ,USD
RSP,USD
RTH,USD
RWR,USD
SHY,USD
SLYG,USD
SLYV,USD
SMH,USD
SOXX,USD
SPEU,USD
SPTM,USD
SPY,USD
SPYG,USD
SPYV,USD
SUSA,USD
TIP,USD
TLT,USD
VAW,USD
VB,USD
VBK,USD
VBR,USD
VCR,USD
VDC,USD
VDE,USD
VFH,USD
VGK,USD
VGT,USD
VHT,USD
VIS,USD
VNQ,USD
VO,USD
VOX,USD
VPL,USD
VPU,USD
VTI,USD
VTV,USD
VUG,USD
VV,USD
VWO,USD
VXF,USD
XLB,USD
XLE,USD
XLF,USD
XLG,USD
XLI,USD
XLK,USD
XLP,USD
XLU,USD
XLV,USD
XLY,USD
XMMO,USD
XMVM,USD
XNTK,USD
XSMO,USD
