Date,VTI
2005-10-01,41.25925827026367
2005-11-01,43.16379928588867
2005-12-01,42.94094467163086
2006-01-01,44.561092376708984
2006-02-01,44.65911102294922
2006-03-01,45.390708923339844
2006-04-01,46.010658264160156
2006-05-01,44.52745819091797
2006-06-01,44.39390563964844
2006-07-01,44.53345489501953
2006-08-01,45.557125091552734
2006-09-01,46.39726257324219
2006-10-01,48.23130416870117
2006-11-01,49.35483169555664
2006-12-01,49.69511795043945
2007-01-01,50.877620697021484
2007-02-01,50.0511589050293
2007-03-01,50.39670944213867
2007-04-01,52.64787292480469
2007-05-01,54.608394622802734
2007-06-01,53.442054748535156
2007-07-01,51.74956130981445
2007-08-01,52.510887145996094
2007-09-01,54.29933166503906
2007-10-01,55.50823974609375
2007-11-01,52.9980583190918
2007-12-01,52.34889602661133
2008-01-01,49.38481903076172
2008-02-01,48.15201187133789
2008-03-01,47.49935531616211
2008-04-01,50.05264663696289
2008-05-01,51.061710357666016
2008-06-01,46.69393539428711
2008-07-01,46.62228775024414
2008-08-01,47.303070068359375
2008-09-01,42.720619201660156
2008-10-01,35.42823791503906
2008-11-01,32.588706970214844
2008-12-01,32.912384033203125
2009-01-01,30.495676040649414
2009-02-01,27.2860164642334
2009-03-01,29.339319229125977
2009-04-01,32.79008102416992
2009-05-01,34.58147430419922
2009-06-01,34.53669357299805
2009-07-01,37.39396286010742
2009-08-01,38.781715393066406
2009-09-01,40.19944763183594
2009-10-01,39.32219314575195
2009-11-01,41.56036376953125
2009-12-01,42.4797248840332
2010-01-01,41.22589874267578
2010-02-01,42.64409637451172
2010-03-01,45.1922721862793
2010-04-01,46.3613166809082
2010-05-01,42.706634521484375
2010-06-01,40.01889419555664
2010-07-01,43.035465240478516
2010-08-01,41.00801467895508
2010-09-01,44.65742111206055
2010-10-01,46.696136474609375
2010-11-01,46.93452453613281
2010-12-01,49.93379592895508
2011-01-01,51.229183197021484
2011-02-01,53.1234130859375
2011-03-01,53.1234130859375
2011-04-01,54.89078140258789
2011-05-01,54.30847930908203
2011-06-01,53.10508346557617
2011-07-01,52.12263107299805
2011-08-01,48.949275970458984
2011-09-01,45.0040168762207
2011-10-01,50.384765625
2011-11-01,50.19664001464844
2011-12-01,50.40045166015625
2012-01-01,53.25694274902344
2012-02-01,55.50359344482422
2012-03-01,56.961917877197266
2012-04-01,56.84208679199219
2012-05-01,53.30329895019531
2012-06-01,55.179561614990234
2012-07-01,55.944862365722656
2012-08-01,57.4566764831543
2012-09-01,58.60247039794922
2012-10-01,57.82471466064453
2012-11-01,58.27244186401367
2012-12-01,58.5922737121582
2013-01-01,62.22359085083008
2013-02-01,63.02101135253906
2013-03-01,65.21190643310547
2013-04-01,66.56131744384766
2013-05-01,68.1877212524414
2013-06-01,66.89305877685547
2013-07-01,71.06963348388672
2013-08-01,68.91526794433594
2013-09-01,71.2566146850586
2013-10-01,74.65619659423828
2013-11-01,76.67391204833984
2013-12-01,78.3567123413086
2014-01-01,76.27336883544922
2014-02-01,79.98518371582031
2014-03-01,80.04267120361328
2014-04-01,80.44207763671875
2014-05-01,82.13291931152344
2014-06-01,83.93921661376953
2014-07-01,82.60456085205078
2014-08-01,86.0333023071289
2014-09-01,83.84685516357422
2014-10-01,86.54238891601562
2014-11-01,88.6888656616211
2014-12-01,88.18971252441406
2015-01-01,86.22943115234375
2015-02-01,91.18072509765625
2015-03-01,89.70036315917969
2015-04-01,90.67503356933594
2015-05-01,91.85138702392578
2015-06-01,89.92715454101562
2015-07-01,91.84889221191406
2015-08-01,86.25386810302734
2015-09-01,83.3087387084961
2015-10-01,90.35701751708984
2015-11-01,90.89988708496094
2015-12-01,88.46560668945312
2016-01-01,83.87714385986328
2016-02-01,83.86865234375
2016-03-01,89.41322326660156
2016-04-01,90.4229507446289
2016-05-01,91.99125671386719
2016-06-01,91.8370132446289
2016-07-01,95.90978240966797
2016-08-01,96.10774230957031
2016-09-01,95.83229064941406
2016-10-01,94.18856811523438
2016-11-01,98.4183120727539
2016-12-01,99.75041198730469
2017-01-01,102.2362060546875
2017-02-01,106.01373291015625
2017-03-01,105.5959243774414
2017-04-01,107.20016479492188
2017-05-01,108.28431701660156
2017-06-01,108.80888366699219
2017-07-01,111.36540985107422
2017-08-01,111.53227996826172
2017-09-01,113.7633056640625
2017-10-01,116.73255920410156
2017-11-01,120.26990509033203
2017-12-01,121.07261657714844
2018-01-01,128.03106689453125
2018-02-01,123.2175521850586
2018-03-01,120.31002044677734
2018-04-01,121.34154510498047
2018-05-01,124.64366149902344
2018-06-01,124.99073791503906
2018-07-01,129.68589782714844
2018-08-01,134.13720703125
2018-09-01,133.7617645263672
2018-10-01,124.44032287597656
2018-11-01,126.94603729248047
2018-12-01,114.62413787841797
2019-01-01,125.14405822753906
2019-02-01,129.59768676757812
2019-03-01,130.72691345214844
2019-04-01,136.592529296875
2019-05-01,127.78246307373047
2019-06-01,136.32008361816406
2019-07-01,138.75970458984375
2019-08-01,135.86985778808594
2019-09-01,137.65658569335938
2019-10-01,141.1996612548828
2019-11-01,146.54800415039062
2019-12-01,149.8449249267578
2020-01-01,150.56533813476562
2020-02-01,138.52159118652344
2020-03-01,118.69727325439453
2020-04-01,134.9530792236328
2020-05-01,142.235595703125
2020-06-01,144.84506225585938
2020-07-01,153.86111450195312
2020-08-01,164.79278564453125
2020-09-01,158.3137664794922
2020-10-01,155.86431884765625
2020-11-01,174.26113891601562
2020-12-01,181.67214965820312
2021-01-01,181.801025390625
2021-02-01,187.5083465576172
2021-03-01,193.70301818847656
