Date,BTC-USD,ETH-USD
2020-11-01,19625.8359375,614.842529296875
2020-12-01,29001.720703125,737.8034057617188
2021-01-01,33114.359375,1314.9862060546875
2021-02-01,45137.76953125,1416.0489501953125
2021-03-01,58918.83203125,1918.362060546875
2021-04-01,57750.17578125,2773.20703125
2021-05-01,37332.85546875,2714.9453125
2021-06-01,35040.8359375,2274.547607421875
2021-07-01,41626.1953125,2536.2099609375
2021-08-01,47166.6875,3433.732666015625
2021-09-01,43790.89453125,3001.678955078125
2021-10-01,61318.95703125,4288.07421875
2021-11-01,57005.42578125,4631.47900390625
2021-12-01,46306.4453125,3682.6328125
2022-01-01,38483.125,2688.27880859375
2022-02-01,43193.234375,2919.201171875
2022-03-01,45538.67578125,3281.642822265625
2022-04-01,37714.875,2730.186767578125
2022-05-01,31792.310546875,1942.3280029296875
2022-06-01,19784.7265625,1067.298828125
2022-07-01,23336.896484375,1681.517333984375
2022-08-01,20049.763671875,1553.6849365234375
2022-09-01,19431.7890625,1327.9786376953125
2022-10-01,20495.7734375,1572.7144775390625
2022-11-01,17168.56640625,1295.6885986328125
2022-12-01,16547.49609375,1196.771240234375
2023-01-01,23139.283203125,1586.535400390625
2023-02-01,23147.353515625,1605.8951416015625
2023-03-01,28478.484375,1822.0220947265625
2023-04-01,29268.806640625,1876.92431640625
2023-05-01,27219.658203125,1874.1304931640625
2023-06-01,30477.251953125,1933.18896484375
2023-07-01,29230.111328125,1856.162353515625
2023-08-01,25931.47265625,1645.63916015625
2023-09-01,26967.916015625,1671.161865234375
2023-10-01,34667.78125,1816.458984375
2023-11-01,37712.74609375,2052.55615234375
2023-12-01,42265.1875,2281.47119140625
2024-01-01,42582.60546875,2282.54443359375
2024-02-01,61198.3828125,3341.919677734375
2024-03-01,71333.6484375,3647.8564453125
2024-04-01,60636.85546875,3012.286865234375
2024-05-01,67491.4140625,3760.026611328125
2024-06-01,62678.29296875,3432.88916015625
2024-07-01,64619.25,3231.295654296875
2024-08-01,58969.8984375,2513.393798828125
2024-09-01,63329.5,2603.062744140625
2024-10-01,70215.1875,2515.79931640625
2024-11-01,96449.0546875,3705.705322265625
2024-12-01,93429.203125,3332.53173828125
2025-01-01,102405.0234375,3298.26513671875
2025-02-01,84373.0078125,2237.9052734375
2025-03-01,82548.9140625,1823.47998046875
2025-04-01,94207.3125,1793.775390625
2025-05-01,104638.09375,2529.08740234375
2025-06-01,107135.3359375,2486.46435546875
2025-07-01,115758.203125,3696.707763671875
2025-08-01,108236.7109375,4390.01904296875
2025-09-01,114056.0859375,4145.95751953125
2025-10-01,109437.3984375,3859.151611328125
