Date,USDAUD=X,USDBRL=X,USDCAD=X,USDCNH=X,USDCNY=X,USDEUR=X,USDGBP=X,USDHKD=X,USDINR=X,USDJPY=X,USDSGD=X
2005-10-01,,,1.1821000576019287,,8.073200225830078,0.8341000080108643,0.5653600096702576,7.752799987792969,45.040000915527344,116.44000244140625,1.694200038909912
2005-11-01,,,1.166100025177002,,8.075599670410156,0.847100019454956,0.5777300000190735,7.75439977645874,45.86000061035156,119.72000122070312,1.6901999711990356
2005-12-01,,,1.1613999605178833,,8.06820011138916,0.8443099856376648,0.5811600089073181,7.751500129699707,44.970001220703125,118.11000061035156,1.6624000072479248
2006-01-01,,,1.138700008392334,,8.062000274658203,0.8231499791145325,0.5622400045394897,7.756700038909912,43.900001525878906,117.30999755859375,1.6233999729156494
2006-02-01,,,1.1368999481201172,,8.0378999710083,0.8382200002670288,0.5700600147247314,7.757599830627441,44.25,115.79000091552734,1.6201000213623047
2006-03-01,,2.1672000885009766,1.1674000024795532,,8.007499694824219,0.8254200220108032,0.575469970703125,7.759300231933594,44.52799987792969,117.76000213623047,1.6155999898910522
2006-04-01,,2.0936999320983887,1.1174999475479126,,8.003899574279785,0.7920799851417542,0.5481600165367126,7.752699851989746,44.80500030517578,113.68000030517578,1.5805000066757202
2006-05-01,,2.2971999645233154,1.1009000539779663,,8.013999938964844,0.780269980430603,0.5343000292778015,7.756400108337402,46.15999984741211,112.52999877929688,1.579200029373169
2006-06-01,1.3463000059127808,2.1614999771118164,1.1146999597549438,,7.982500076293945,0.782289981842041,0.5408300161361694,7.762800216674805,45.80500030517578,114.48999786376953,1.5822999477386475
2006-07-01,1.3056999444961548,2.171999931335449,1.1305999755859375,,7.960000038146973,0.7828400135040283,0.5352699756622314,7.770400047302246,46.41999816894531,114.51000213623047,1.5782999992370605
2006-08-01,1.3100999593734741,2.134000062942505,1.1043000221252441,,7.944900035858154,0.7807000279426575,0.5254600048065186,7.775000095367432,46.47600173950195,117.36000061035156,1.5729999542236328
2006-09-01,1.3395999670028687,2.162899971008301,1.1168999671936035,,7.897299766540527,0.7879599928855896,0.5342699885368347,7.786600112915039,45.71500015258789,118.02999877929688,1.5877000093460083
2006-10-01,1.2903000116348267,2.132999897003174,1.1217000484466553,,7.86899995803833,0.783270001411438,0.5240300297737122,7.777100086212158,44.834999084472656,116.79000091552734,1.5563000440597534
2006-11-01,1.2681000232696533,2.1659998893737793,1.141700029373169,,7.823299884796143,0.7546600103378296,0.5085399746894836,7.777900218963623,44.55099868774414,115.68000030517578,1.5391000509262085
2006-12-01,1.267699956893921,2.13100004196167,1.1655999422073364,,7.797500133514404,0.7576900124549866,0.5104100108146667,7.774099826812744,44.040000915527344,119.04000091552734,1.5328999757766724
2007-01-01,1.289199948310852,2.120300054550171,1.1751999855041504,,7.764800071716309,0.7678700089454651,0.5093200206756592,7.8059000968933105,44.005001068115234,120.73999786376953,1.5356999635696411
2007-02-01,1.2704999446868896,2.115999937057495,1.1700999736785889,,7.728000164031982,0.7559199929237366,0.5091599822044373,7.811299800872803,44.01599884033203,118.7300033569336,1.5292999744415283
2007-03-01,1.236199975013733,2.055000066757202,1.1535999774932861,,7.720799922943115,0.7485600113868713,0.508080005645752,7.811200141906738,43.04499816894531,117.81999969482422,1.5170999765396118
2007-04-01,1.2050000429153442,2.027899980545044,1.1095999479293823,,7.695499897003174,0.7324900031089783,0.5,7.8221001625061035,40.96900177001953,119.36000061035156,1.5194000005722046
2007-05-01,1.2071000337600708,1.919100046157837,1.070099949836731,,7.637499809265137,0.7431600093841553,0.5051000118255615,7.808199882507324,40.54600143432617,121.75,1.5288000106811523
2007-06-01,1.1790000200271606,1.9276000261306763,1.0644999742507935,,7.603499889373779,0.7387700080871582,0.49792999029159546,7.714399814605713,40.529998779296875,123.16000366210938,1.5305999517440796
2007-07-01,1.173699975013733,1.8654999732971191,1.0667999982833862,,7.5625,0.7314199805259705,0.4927600026130676,7.825699806213379,40.39799880981445,118.41999816894531,1.5160000324249268
2007-08-01,1.2246999740600586,1.9631999731063843,1.0561000108718872,,7.534999847412109,0.7330300211906433,0.49573999643325806,7.795199871063232,40.57500076293945,115.7699966430664,1.523900032043457
2007-09-01,1.1260000467300415,1.8339999914169312,0.9927999973297119,,7.495999813079834,0.7007700204849243,0.4888100028038025,7.77209997177124,39.57500076293945,114.81999969482422,1.4830000400543213
2007-10-01,1.073199987411499,1.736199975013733,0.9466999769210815,,7.46150016784668,0.6909899711608887,0.4808200001716614,7.750100135803223,39.17399978637695,115.38999938964844,1.4484000205993652
2007-11-01,1.1292999982833862,1.7759000062942505,1.0003999471664429,,7.388000011444092,0.6804599761962891,0.48622000217437744,7.75439977645874,39.45500183105469,111.76000213623047,1.447700023651123
2007-12-01,1.1438000202178955,1.767300009727478,0.9976000189781189,,7.294099807739258,0.6848800182342529,0.5033699870109558,7.796999931335449,39.244998931884766,111.6500015258789,1.4390000104904175
2008-01-01,1.1167999505996704,1.752500057220459,1.0012999773025513,,7.172999858856201,0.6727200150489807,0.5023599863052368,7.797100067138672,39.31399917602539,106.2509994506836,1.4170000553131104
2008-02-01,1.075600028038025,1.6785000562667847,0.9869999885559082,,7.101900100708008,0.658240020275116,0.5033699870109558,7.777100086212158,39.90999984741211,103.7699966430664,1.3950999975204468
2008-03-01,1.0943000316619873,1.7395000457763672,1.0253000259399414,,7.002399921417236,0.6345999836921692,0.5039799809455872,7.781799793243408,39.888999938964844,99.8499984741211,1.378100037574768
